chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.74,,,serum,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfos,partition coefficient,in vivo,beef cattle,1.03,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in vivo,dairt cow,1.65,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in vivo,human,"1.00;
0.90",,,,"27;
37","Baumert et al., 2023",https://doi.org/10.1021/acs.est.3c02765,"1.00ñ0.33 N=27; 0.90ñ0.31 N=37 (adolescents, mean 16.7 years)",,
pfos,partition coefficient,in vivo,rats,2.63,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,2.63 ñ 0.04 (male) 2.04 ñ 0.03 (female) (N=5),,
pfos,partition coefficient,in vivo,rats,2.04,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,2.63 ñ 0.04 (male) 2.04 ñ 0.03 (female) (N=5),,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,2.22,,,whole blood,"5 (F), 14 (M)","Nielsen et al., 2024",10.1021/acs.est.3c06499,between 29 and 84 years; 5 were women and 14 were men,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,1.03,,,plasma,20,Fabrega et al. 2016,https://doi.org/10.1016/j.yrtph.2016.03.009,cit. P‚rez et al. 2013,,
pfna,partition coefficient,,,0.04,,,,,"Fragki et al., 2023",https://doi.org/10.1016/j.fct.2022.113559,based on PFOA,,
pfhxs,partition coefficient,in silico (QSAR),,0.21535,,,,,"httk (Pearce et al., 2017)",https://doi.org/10.1007/s10928-017-9548-7,"using the model of Schmitt (Toxicol In Vitro 22 (2):457?467, 2008)",,
pfos,partition coefficient,in vivo,rats,0.14,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
